GW Pos. Heuristic,ED Sched. Method,Position distr.,Periods distr.,Map size,ED Number,ED Dens. (1/m^2),Max. SF,GW Number,Channels used,ED Unfeas. Instances,Coverage %,GW Avg. UF,Elapsed,Iterations,Exit condition
Springs,EDF,Uniform,Hard,2000,10000,0.00,8,150,7,0,100.00,0.03,4342491,1522,Max. coverage
Springs,EDF,Uniform,Hard,2000,10000,0.00,8,141,6,0,100.00,0.03,4390308,1458,Max. coverage
Springs,EDF,Uniform,Hard,2000,10000,0.00,8,136,7,0,100.00,0.04,4486741,1356,Max. coverage
Springs,EDF,Uniform,Hard,2000,10000,0.00,8,142,7,0,100.00,0.03,4519170,1445,Max. coverage
Springs,EDF,Uniform,Hard,2000,10000,0.00,8,154,9,0,100.00,0.03,4520188,1612,Max. coverage
Springs,EDF,Uniform,Hard,2000,10000,0.00,8,147,7,0,100.00,0.03,4745425,1497,Max. coverage
Springs,EDF,Uniform,Hard,2000,10000,0.00,8,162,8,0,100.00,0.03,1877447,1690,Max. coverage
Springs,EDF,Uniform,Hard,2000,10000,0.00,8,154,7,0,100.00,0.03,2265764,1588,Max. coverage
Springs,EDF,Uniform,Hard,2000,5000,0.00,8,143,9,0,100.00,0.02,2459267,1854,Max. coverage
Springs,EDF,Uniform,Hard,2000,5000,0.00,8,145,6,0,100.00,0.02,2470037,1885,Max. coverage
Springs,EDF,Uniform,Hard,2000,5000,0.00,8,144,7,0,100.00,0.02,2600011,1875,Max. coverage
Springs,EDF,Uniform,Hard,2000,5000,0.00,8,170,8,0,100.00,0.01,2623543,2155,Max. coverage
Springs,EDF,Uniform,Hard,2000,5000,0.00,8,140,7,0,100.00,0.02,2668946,1826,Max. coverage
Springs,EDF,Uniform,Hard,2000,5000,0.00,8,152,7,0,100.00,0.02,2745219,1984,Max. coverage
Springs,EDF,Uniform,Hard,2000,5000,0.00,8,172,8,0,100.00,0.01,2745800,2201,Max. coverage
Springs,EDF,Uniform,Hard,2000,5000,0.00,8,152,9,0,100.00,0.02,2803365,1916,Max. coverage
Springs,EDF,Uniform,Hard,2000,5000,0.00,8,153,8,0,100.00,0.02,1164197,2029,Max. coverage
Springs,EDF,Uniform,Hard,2000,5000,0.00,8,146,7,0,100.00,0.02,1227565,1894,Max. coverage
Springs,EDF,Uniform,Hard,2000,2000,0.00,8,136,7,0,100.00,0.01,936577,2149,Max. coverage
Springs,EDF,Uniform,Hard,2000,2000,0.00,9,117,15,0,100.00,0.01,984099,1804,Max. coverage
Springs,EDF,Uniform,Hard,2000,2000,0.00,8,146,8,0,100.00,0.01,1062862,2259,Max. coverage
Springs,EDF,Uniform,Hard,2000,2000,0.00,8,130,6,0,100.00,0.01,1100461,2056,Max. coverage
Springs,EDF,Uniform,Hard,2000,2000,0.00,8,171,9,0,100.00,0.01,1108546,2584,Max. coverage
Springs,EDF,Uniform,Hard,2000,2000,0.00,8,150,7,0,100.00,0.01,1161908,2261,Max. coverage
Springs,EDF,Uniform,Hard,2000,2000,0.00,8,142,7,0,100.00,0.01,1188009,2203,Max. coverage
Springs,EDF,Uniform,Hard,2000,2000,0.00,8,148,8,0,100.00,0.01,1191681,2314,Max. coverage
Springs,EDF,Uniform,Hard,2000,2000,0.00,8,133,7,0,100.00,0.01,484260,2086,Max. coverage
Springs,EDF,Uniform,Hard,2000,2000,0.00,8,165,8,0,100.00,0.01,544993,2513,Max. coverage
Springs,EDF,Uniform,Hard,2000,1000,0.00,8,171,9,0,100.00,0.00,378663,2798,Max. coverage
Springs,EDF,Uniform,Hard,2000,1000,0.00,9,113,14,0,100.00,0.00,450826,1850,Max. coverage
Springs,EDF,Uniform,Hard,2000,1000,0.00,8,155,7,0,100.00,0.00,468065,2503,Max. coverage
Springs,EDF,Uniform,Hard,2000,1000,0.00,8,127,6,0,100.00,0.00,469098,2143,Max. coverage
Springs,EDF,Uniform,Hard,2000,1000,0.00,8,145,7,0,100.00,0.00,472667,2376,Max. coverage
Springs,EDF,Uniform,Hard,2000,1000,0.00,9,117,13,0,100.00,0.00,484888,1914,Max. coverage
Springs,EDF,Uniform,Hard,2000,1000,0.00,8,142,7,0,100.00,0.00,521726,2343,Max. coverage
Springs,EDF,Uniform,Hard,2000,1000,0.00,8,128,7,0,100.00,0.00,574522,2140,Max. coverage
Springs,EDF,Uniform,Hard,2000,1000,0.00,8,154,10,0,100.00,0.00,172918,2414,Max. coverage
Springs,EDF,Uniform,Hard,2000,1000,0.00,9,105,15,0,100.00,0.00,196296,1740,Max. coverage
Springs,EDF,Uniform,Hard,100,10000,1.00,12,13,13,0,100.00,0.33,4655,105,Max. coverage
Springs,EDF,Uniform,Hard,100,10000,1.00,12,13,13,0,100.00,0.32,7219,102,Max. coverage
Springs,EDF,Uniform,Hard,100,10000,1.00,12,12,12,0,100.00,0.38,7022,93,Max. coverage
Springs,EDF,Uniform,Hard,100,10000,1.00,12,12,12,0,100.00,0.38,6820,93,Max. coverage
Springs,EDF,Uniform,Hard,100,10000,1.00,12,13,13,0,100.00,0.33,6893,102,Max. coverage
Springs,EDF,Uniform,Hard,100,10000,1.00,12,13,13,0,100.00,0.33,7211,99,Max. coverage
Springs,EDF,Uniform,Hard,100,10000,1.00,12,13,13,0,100.00,0.33,7497,103,Max. coverage
Springs,EDF,Uniform,Hard,100,5000,0.50,12,7,7,0,100.00,0.31,332,48,Max. coverage
Springs,EDF,Uniform,Hard,100,5000,0.50,12,7,7,0,100.00,0.29,330,48,Max. coverage
Springs,EDF,Uniform,Hard,100,5000,0.50,12,7,7,0,100.00,0.30,906,48,Max. coverage
Springs,EDF,Uniform,Hard,100,5000,0.50,12,7,7,0,100.00,0.29,851,48,Max. coverage
Springs,EDF,Uniform,Hard,100,5000,0.50,12,7,7,0,100.00,0.30,835,48,Max. coverage
Springs,EDF,Uniform,Hard,100,5000,0.50,12,7,7,0,100.00,0.30,818,48,Max. coverage
Springs,EDF,Uniform,Hard,100,5000,0.50,12,7,7,0,100.00,0.30,871,48,Max. coverage
Springs,EDF,Uniform,Hard,100,5000,0.50,12,7,7,0,100.00,0.31,1253,50,Max. coverage
