GW Pos. Heuristic,ED Sched. Method,Position distr.,Periods distr.,Map size,ED Number,ED Dens. (1/m^2),Max. SF,GW Number,Channels used,ED Unfeas. Instances,Coverage %,GW Avg. UF,Elapsed,Iterations,Exit condition
Springs,EDF,Uniform,Hard,2000,5000,0.00,8,176,9,0,100.00,0.01,2957490,2342,Max. coverage
Springs,EDF,Uniform,Hard,2000,5000,0.00,8,152,8,0,100.00,0.02,3014770,2129,Max. coverage
Springs,EDF,Uniform,Hard,2000,5000,0.00,8,198,10,0,100.00,0.01,3212340,2679,Max. coverage
Springs,EDF,Uniform,Hard,2000,5000,0.00,8,156,8,0,100.00,0.02,1498100,2098,Max. coverage
Springs,EDF,Uniform,Hard,2000,5000,0.00,8,155,8,0,100.00,0.02,1644178,2188,Max. coverage
Springs,EDF,Uniform,Hard,2000,2000,0.00,8,144,7,0,100.00,0.01,704603,2220,Max. coverage
Springs,EDF,Uniform,Hard,2000,2000,0.00,8,144,8,0,100.00,0.01,932763,2293,Max. coverage
Springs,EDF,Uniform,Hard,2000,2000,0.00,8,161,7,0,100.00,0.01,964215,2411,Max. coverage
Springs,EDF,Uniform,Hard,2000,2000,0.00,8,139,7,0,100.00,0.01,989400,2148,Max. coverage
Springs,EDF,Uniform,Hard,2000,2000,0.00,8,134,7,0,100.00,0.01,1061709,2107,Max. coverage
Springs,EDF,Uniform,Hard,2000,2000,0.00,8,150,7,0,100.00,0.01,1123341,2287,Max. coverage
Springs,EDF,Uniform,Hard,2000,2000,0.00,8,149,8,0,100.00,0.01,1214366,2300,Max. coverage
Springs,EDF,Uniform,Hard,2000,2000,0.00,8,192,9,0,100.00,0.00,1232154,2763,Max. coverage
Springs,EDF,Uniform,Hard,2000,2000,0.00,8,142,7,0,100.00,0.01,662009,2224,Max. coverage
Springs,EDF,Uniform,Hard,2000,2000,0.00,8,175,8,0,100.00,0.01,763629,2579,Max. coverage
Springs,EDF,Uniform,Hard,2000,1000,0.00,8,180,9,0,100.00,0.00,412592,2685,Max. coverage
Springs,EDF,Uniform,Hard,2000,1000,0.00,9,115,15,0,100.00,0.00,475666,1880,Max. coverage
Springs,EDF,Uniform,Hard,2000,1000,0.00,8,181,9,0,100.00,0.00,507793,2904,Max. coverage
Springs,EDF,Uniform,Hard,2000,1000,0.00,8,151,8,0,100.00,0.00,589817,2566,Max. coverage
Springs,EDF,Uniform,Hard,2000,1000,0.00,8,176,10,0,100.00,0.00,590446,2792,Max. coverage
Springs,EDF,Uniform,Hard,2000,1000,0.00,8,133,6,0,100.00,0.00,633780,2183,Max. coverage
Springs,EDF,Uniform,Hard,2000,1000,0.00,8,153,9,0,100.00,0.00,642279,2413,Max. coverage
Springs,EDF,Uniform,Hard,2000,1000,0.00,8,149,8,0,100.00,0.00,643416,2409,Max. coverage
Springs,EDF,Uniform,Hard,2000,1000,0.00,8,171,9,0,100.00,0.00,325173,2793,Max. coverage
Springs,EDF,Uniform,Hard,2000,1000,0.00,8,149,9,0,100.00,0.00,383464,2381,Max. coverage
Springs,EDF,Uniform,Hard,2000,20000,0.01,8,145,6,0,100.00,0.07,2090091,598,Max. coverage
